LSOA code,LSOA name,LONG__y,LAT_y,Vehicle crime
E01009320,Birmingham 081F,-1.76512,52.4536,37
E01009321,Birmingham 069C,-1.76823,52.4692,33
E01009322,Birmingham 069D,-1.77792,52.4717,34
E01009323,Birmingham 069E,-1.78413,52.4636,21
E01009324,Birmingham 072B,-1.79033,52.4662,20
E01009325,Birmingham 063A,-1.83718,52.4706,5
E01009326,Birmingham 066D,-1.83179,52.4704,13
E01009327,Birmingham 139B,-1.84399,52.4725,2
E01009328,Birmingham 139C,-1.84625,52.4725,15
E01009329,Birmingham 070A,-1.85449,52.4699,15
E01009331,Birmingham 139D,-1.8471,52.4753,18
E01009332,Birmingham 139E,-1.86172,52.473,57
E01009333,Birmingham 139F,-1.85148,52.4759,10
E01009334,Birmingham 070B,-1.84925,52.4688,12
E01009335,Birmingham 139G,-1.84206,52.464,31
E01009337,Birmingham 070C,-1.84822,52.4653,3
E01009338,Birmingham 070D,-1.84624,52.4631,15
E01009339,Birmingham 140A,-1.85579,52.4583,24
E01009340,Birmingham 140B,-1.84674,52.4544,20
E01009341,Birmingham 066E,-1.82725,52.4786,74
E01009342,Birmingham 063D,-1.83391,52.4774,12
E01009343,Birmingham 063E,-1.84178,52.4764,37
E01009344,Birmingham 139H,-1.85492,52.4751,23
E01009345,Birmingham 053D,-1.93862,52.492,32
E01009346,Birmingham 053E,-1.94226,52.4889,27
E01009347,Birmingham 049D,-1.91985,52.4876,26
E01009348,Birmingham 047A,-1.92706,52.4913,39
E01009349,Birmingham 036D,-1.95643,52.5061,28
E01009350,Birmingham 039B,-1.93371,52.507,17
E01009351,Birmingham 036E,-1.95215,52.5054,19
E01009352,Birmingham 039C,-1.92774,52.5039,28
E01009353,Birmingham 039D,-1.93135,52.5045,21
E01009354,Birmingham 036F,-1.94508,52.5035,30
E01009355,Birmingham 039E,-1.92278,52.5033,47
E01009358,Birmingham 047B,-1.92363,52.4983,26
E01009359,Birmingham 047C,-1.93236,52.5005,41
E01009360,Birmingham 047D,-1.92957,52.4951,29
E01009361,Birmingham 047E,-1.94148,52.496,15
E01009362,Birmingham 071A,-1.88963,52.4655,35
E01009363,Birmingham 071B,-1.86859,52.4674,50
E01009364,Birmingham 071C,-1.8855,52.4689,49
E01009365,Birmingham 071D,-1.87752,52.4679,44
E01009366,Birmingham 084A,-1.89445,52.4605,15
E01009367,Birmingham 083A,-1.88067,52.4609,29
E01009368,Birmingham 077A,-1.87075,52.4615,5
E01009371,Birmingham 077D,-1.87182,52.4596,41
E01009372,Birmingham 082A,-1.86492,52.4591,6
E01009373,Birmingham 082B,-1.86261,52.4579,9
E01009374,Birmingham 084B,-1.8888,52.4603,14
E01009375,Birmingham 083B,-1.8795,52.4578,19
E01009376,Birmingham 084C,-1.88788,52.4562,25
E01009377,Birmingham 083C,-1.87936,52.4552,16
E01009378,Birmingham 135A,-1.88735,52.4707,180
E01009379,Birmingham 071E,-1.86479,52.4706,61
E01009380,Birmingham 070E,-1.85985,52.4685,9
E01009382,Birmingham 140C,-1.86525,52.4494,23
E01009383,Birmingham 083D,-1.87517,52.4508,7
E01009384,Birmingham 092E,-1.88598,52.4516,21
E01009385,Birmingham 092F,-1.88402,52.4473,15
E01009389,Birmingham 093B,-1.87102,52.4488,10
E01009390,Birmingham 093C,-1.87683,52.4466,6
E01009391,Birmingham 140D,-1.85804,52.4476,12
E01009392,Birmingham 140E,-1.86668,52.4461,10
E01009393,Birmingham 140F,-1.85915,52.445,9
E01009394,Birmingham 093D,-1.87264,52.4443,25
E01009395,Birmingham 097F,-1.86303,52.4417,6
E01009396,Birmingham 082D,-1.86849,52.4549,5
E01009397,Birmingham 077E,-1.87317,52.4558,34
E01009399,Birmingham 083E,-1.87566,52.4533,10
E01009400,Birmingham 031E,-1.84007,52.5091,32
E01009401,Birmingham 031F,-1.85345,52.5098,19
E01009403,Birmingham 020A,-1.85297,52.5378,10
E01009404,Birmingham 020B,-1.85503,52.5355,14
E01009405,Birmingham 020C,-1.8518,52.5302,6
E01009406,Birmingham 020D,-1.8577,52.5322,16
E01009407,Birmingham 020E,-1.84699,52.5278,9
E01009408,Birmingham 026B,-1.85755,52.5257,15
E01009409,Birmingham 026C,-1.84918,52.5234,10
E01009410,Birmingham 026D,-1.86503,52.5238,23
E01009411,Birmingham 030B,-1.87014,52.5192,29
E01009412,Birmingham 030C,-1.85904,52.52,32
E01009413,Birmingham 030D,-1.85717,52.5123,39
E01009414,Birmingham 030E,-1.86279,52.5128,31
E01009415,Birmingham 002A,-1.83286,52.5948,5
