LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009478,Birmingham 048A,57.019,-1.83488,52.5015,Burglary,23
E01009449,Birmingham 009A,23.843,-1.82829,52.5605,Burglary,23
E01010510,Wolverhampton 017C,25.93,-2.15712,52.5939,Burglary,23
E01008910,Birmingham 050A,50.158,-1.88796,52.4969,Burglary,22
E01009746,Dudley 022C,44.927,-2.11577,52.4882,Burglary,22
E01033638,Birmingham 049F,60.558,-1.91123,52.4975,Burglary,22
E01009152,Birmingham 053B,49.865,-1.94306,52.4845,Burglary,22
E01010151,Solihull 026A,10.605,-1.73071,52.3866,Burglary,22
E01009838,Dudley 037D,28.059,-2.10338,52.4474,Burglary,22
E01009095,Birmingham 056A,33.984,-1.81021,52.4874,Burglary,22
E01009363,Birmingham 071B,63.826,-1.86859,52.4674,Burglary,22
E01010365,Walsall 031C,47.048,-1.9993,52.5729,Burglary,22
E01033628,Birmingham 041F,62.468,-1.89837,52.5029,Burglary,22
E01010533,Wolverhampton 032A,32.935,-2.11278,52.5615,Burglary,22
E01010480,Wolverhampton 011C,25.647,-2.10922,52.6018,Burglary,22
E01008998,Birmingham 031A,51.657,-1.83676,52.5126,Burglary,22
E01010211,Solihull 023C,21.292,-1.82942,52.3965,Burglary,22
E01009879,Dudley 011B,25.203,-2.0902,52.5149,Burglary,22
E01008940,Birmingham 115B,56.944,-1.85974,52.4149,Burglary,22
E01010367,Walsall 031E,49.352,-2.00968,52.5708,Burglary,22
E01010015,Sandwell 021A,24.121,-2.03347,52.511,Burglary,22
E01010148,Solihull 005C,49.922,-1.75681,52.4927,Burglary,22
E01009157,Birmingham 125D,59.609,-2.00948,52.4075,Burglary,22
E01009473,Birmingham 010E,18.324,-1.85771,52.5484,Burglary,22
E01009296,Birmingham 100E,30.163,-1.91616,52.4387,Burglary,22
E01009597,Coventry 043D,27.334,-1.50657,52.4427,Burglary,22
E01009609,Coventry 005D,34.203,-1.4866,52.4334,Burglary,22
E01010412,Wolverhampton 033C,36.713,-2.06535,52.5557,Burglary,22
E01010374,Walsall 018D,48.608,-1.98867,52.5979,Burglary,22
E01009822,Dudley 014E,12.783,-2.17209,52.4966,Burglary,22
E01008995,Birmingham 134A,55.428,-1.90077,52.4654,Burglary,22
E01032533,Coventry 036G,8.203,-1.58084,52.3877,Burglary,22
E01010130,Solihull 008E,55.85,-1.72916,52.4767,Burglary,22
E01009391,Birmingham 140D,40.879,-1.85804,52.4476,Burglary,22
E01009926,Sandwell 034E,16.935,-1.9774,52.4787,Burglary,21
E01009456,Birmingham 018C,10.069,-1.83447,52.5452,Burglary,21
E01009833,Dudley 032A,42.852,-2.10784,52.4585,Burglary,21
E01009747,Dudley 022D,40.392,-2.13413,52.4851,Burglary,21
E01009518,Birmingham 067D,25.915,-1.80229,52.4723,Burglary,21
E01009060,Birmingham 035F,48.057,-1.90157,52.5075,Burglary,21
E01009241,Birmingham 024D,24.596,-1.91354,52.5266,Burglary,21
E01009513,Birmingham 066F,51.065,-1.81653,52.477,Burglary,21
E01009075,Birmingham 087C,36.502,-1.94994,52.4541,Burglary,21
E01010114,Solihull 009E,15.761,-1.75247,52.4674,Burglary,21
E01010089,Sandwell 001E,34.388,-2.02314,52.5596,Burglary,21
E01010567,Wolverhampton 010E,37.676,-2.06629,52.607,Burglary,21
E01009890,Dudley 015D,40.467,-2.07355,52.4962,Burglary,21
E01008968,Birmingham 110B,15.081,-1.892,52.4249,Burglary,21
E01010429,Wolverhampton 035C,36.108,-2.13086,52.5703,Burglary,21
E01010110,Solihull 009B,19.822,-1.71882,52.4706,Burglary,21
E01010268,Walsall 021B,41.95,-2.00101,52.5936,Burglary,21
E01008970,Birmingham 110C,31.077,-1.90424,52.4227,Burglary,21
E01010143,Solihull 007C,51.303,-1.74974,52.477,Burglary,21
E01009335,Birmingham 139G,46.402,-1.84206,52.464,Burglary,21
E01008886,Birmingham 076B,39.518,-1.81287,52.4603,Burglary,21
E01009069,Birmingham 075D,16.528,-1.94711,52.4595,Burglary,21
E01009385,Birmingham 092F,37.571,-1.88402,52.4473,Burglary,21
E01010324,Walsall 016D,28.372,-1.96157,52.6043,Burglary,21
E01010184,Solihull 028B,14.926,-1.76089,52.3828,Burglary,21
E01010311,Walsall 036C,48.498,-2.03236,52.5635,Burglary,21
E01010165,Solihull 017C,16.576,-1.65523,52.4351,Burglary,21
E01009999,Sandwell 033E,33.643,-2.03072,52.4798,Burglary,21
E01010522,Wolverhampton 013A,43.058,-2.13448,52.6014,Burglary,21
E01009956,Sandwell 035D,30.461,-2.06172,52.4744,Burglary,21
E01009798,Dudley 026E,18.233,-2.02873,52.474,Burglary,21
E01009188,Birmingham 092D,22.003,-1.88793,52.4388,Burglary,21
E01009146,Birmingham 136B,41.792,-1.91365,52.4732,Burglary,21
E01009214,Birmingham 126D,58.35,-1.95509,52.402,Burglary,21
E01009179,Birmingham 104D,19.439,-1.88677,52.4295,Burglary,21
E01009753,Dudley 017C,44.547,-2.13686,52.4916,Burglary,21
E01009043,Birmingham 097B,41.675,-1.84468,52.4409,Burglary,21
E01010169,Solihull 025C,2.803,-1.64697,52.389,Burglary,21
E01009225,Birmingham 013B,38.464,-1.89977,52.5492,Burglary,21
E01009629,Coventry 020A,27.337,-1.51051,52.4191,Burglary,21
E01010403,Walsall 025B,37.693,-2.0452,52.5872,Burglary,20
