LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009512,Birmingham 062A,45.743,-1.78417,52.4757,Bicycle theft,2
E01009956,Sandwell 035D,30.461,-2.06172,52.4744,Bicycle theft,2
E01008933,Birmingham 105A,31.465,-1.86472,52.4306,Bicycle theft,2
E01008982,Birmingham 079A,20.68,-1.91039,52.4554,Bicycle theft,2
E01009542,Coventry 039D,56.558,-1.46827,52.3858,Bicycle theft,2
E01009541,Coventry 039C,43.027,-1.46468,52.3808,Bicycle theft,2
E01010205,Solihull 018E,2.748,-1.81491,52.417,Bicycle theft,2
E01009746,Dudley 022C,44.927,-2.11577,52.4882,Bicycle theft,2
E01010085,Sandwell 001A,31.931,-2.00806,52.5601,Bicycle theft,2
E01009656,Coventry 016B,32.971,-1.48268,52.4187,Bicycle theft,2
E01010097,Sandwell 005D,33.621,-2.03796,52.5458,Bicycle theft,2
E01008973,Birmingham 118B,30.221,-1.90632,52.4159,Bicycle theft,2
E01009650,Coventry 020E,31.16,-1.52269,52.4107,Bicycle theft,2
E01010058,Sandwell 031E,46.256,-1.97565,52.4846,Bicycle theft,2
E01009674,Coventry 029A,30.08,-1.58252,52.4001,Bicycle theft,2
E01009691,Coventry 030D,17.24,-1.52923,52.4036,Bicycle theft,2
E01009679,Coventry 036C,38.142,-1.56055,52.3938,Bicycle theft,2
E01008944,Birmingham 115D,43.49,-1.85525,52.412,Bicycle theft,2
E01009688,Coventry 030A,20.967,-1.53785,52.4061,Bicycle theft,2
E01009664,Coventry 016E,29.982,-1.47736,52.4271,Bicycle theft,2
E01010070,Sandwell 015D,32.852,-2.06784,52.5209,Bicycle theft,2
E01009668,Coventry 041C,9.169,-1.52943,52.3806,Bicycle theft,2
E01010072,Sandwell 021D,26.058,-2.05793,52.5164,Bicycle theft,2
E01009666,Coventry 041A,5.516,-1.52877,52.3859,Bicycle theft,2
E01010074,Sandwell 014E,35.835,-2.07009,52.5353,Bicycle theft,2
E01009608,Coventry 004D,33.315,-1.47709,52.4387,Bicycle theft,2
E01009741,Dudley 022A,43.356,-2.11466,52.4793,Bicycle theft,2
E01009592,Coventry 043B,36.988,-1.49999,52.4474,Bicycle theft,2
E01009744,Dudley 022B,41.423,-2.12643,52.48,Bicycle theft,2
E01009604,Coventry 004A,30.169,-1.47976,52.4443,Bicycle theft,2
E01009629,Coventry 020A,27.337,-1.51051,52.4191,Bicycle theft,2
E01010107,Sandwell 020D,67.581,-1.98643,52.5163,Bicycle theft,2
E01010017,Sandwell 024A,44.039,-2.00927,52.5047,Bicycle theft,2
E01009637,Coventry 024B,44.778,-1.4994,52.4175,Bicycle theft,2
E01010028,Sandwell 037E,34.315,-2.00607,52.4683,Bicycle theft,2
E01010102,Sandwell 020C,45.439,-1.98929,52.5117,Bicycle theft,2
