LSOA code,LSOA name,LONG_,LAT,Bicycle theft
E01009752,Dudley 017B,-2.12848,52.4931,2
E01009753,Dudley 017C,-2.13686,52.4916,1
E01009754,Dudley 017D,-2.12368,52.4947,1
E01009757,Dudley 006C,-2.07836,52.5185,9
E01009759,Dudley 006D,-2.0824,52.5276,1
E01009762,Dudley 006F,-2.10266,52.5227,2
E01009766,Dudley 004B,-2.10076,52.5436,1
E01009771,Dudley 004D,-2.10022,52.5377,1
E01009773,Dudley 002A,-2.11821,52.5443,1
E01009789,Dudley 007C,-2.12478,52.5284,1
E01009790,Dudley 007D,-2.11354,52.5246,1
E01009796,Dudley 026D,-2.03709,52.4594,1
E01009797,Dudley 030C,-2.01774,52.4655,1
E01009805,Dudley 039E,-2.04409,52.4494,1
E01009808,Dudley 043B,-2.08507,52.4454,1
E01009810,Dudley 043C,-2.06832,52.4363,1
E01009812,Dudley 043E,-2.0827,52.4364,1
E01009819,Dudley 012C,-2.15823,52.509,1
E01009830,Dudley 019F,-2.16391,52.4903,1
E01009831,Dudley 037A,-2.11334,52.4474,1
E01009834,Dudley 031D,-2.12746,52.4559,1
E01009836,Dudley 037B,-2.12271,52.4585,1
E01009837,Dudley 037C,-2.11648,52.4541,1
E01009842,Dudley 018B,-2.08187,52.4931,2
E01009845,Dudley 041A,-2.14924,52.4337,1
E01009856,Dudley 035A,-2.13708,52.454,6
E01009860,Dudley 042D,-2.12254,52.4501,1
E01009863,Dudley 033E,-2.07484,52.4594,1
E01009867,Dudley 025D,-2.10944,52.4665,1
E01009871,Dudley 018D,-2.07053,52.4881,1
E01009874,Dudley 020C,-2.0993,52.4858,1
E01009879,Dudley 011B,-2.0902,52.5149,2
E01009881,Dudley 011C,-2.09226,52.5111,3
E01009884,Dudley 013D,-2.11512,52.503,1
E01009889,Dudley 015C,-2.08252,52.5056,1
E01009890,Dudley 015D,-2.07355,52.4962,1
E01009891,Dudley 010A,-2.06232,52.5107,1
E01009893,Dudley 010C,-2.06771,52.5102,1
E01009898,Dudley 003C,-2.12615,52.5341,1
E01009899,Dudley 008E,-2.14862,52.5255,1
E01009900,Dudley 008F,-2.13958,52.5246,1
E01009904,Dudley 029B,-2.16563,52.4632,1
E01009906,Dudley 035C,-2.15527,52.4578,2
E01009908,Dudley 035E,-2.15329,52.4529,1
E01009913,Dudley 021C,-2.14412,52.4863,2
E01009923,Sandwell 036A,-1.98812,52.4764,1
E01009927,Sandwell 034F,-1.96949,52.4743,3
E01009929,Sandwell 033A,-2.04055,52.4796,2
E01009933,Sandwell 035A,-2.05078,52.4709,1
E01009934,Sandwell 027A,-2.02861,52.4929,2
E01009937,Sandwell 032A,-1.99288,52.4799,1
E01009938,Sandwell 031A,-1.98501,52.481,1
E01009940,Sandwell 032C,-1.99811,52.4752,2
E01009941,Sandwell 032D,-1.99827,52.4879,1
E01009944,Sandwell 031C,-1.98881,52.4855,3
E01009952,Sandwell 035B,-2.06762,52.4718,1
E01009953,Sandwell 038A,-2.08846,52.4704,1
E01009954,Sandwell 038B,-2.07566,52.4653,1
E01009955,Sandwell 035C,-2.07856,52.4739,3
E01009956,Sandwell 035D,-2.06172,52.4744,2
E01009957,Sandwell 038C,-2.07438,52.471,4
E01009962,Sandwell 004A,-1.9938,52.5541,1
E01009966,Sandwell 003C,-2.0049,52.5504,1
E01009967,Sandwell 003D,-1.98741,52.558,1
E01009976,Sandwell 016A,-2.04604,52.5297,1
E01009977,Sandwell 016B,-2.03685,52.5345,3
E01009978,Sandwell 014A,-2.05382,52.5365,1
E01009979,Sandwell 016C,-2.0308,52.5258,1
E01009980,Sandwell 016D,-2.0421,52.525,2
E01009982,Sandwell 009A,-2.03803,52.5409,1
E01009983,Sandwell 009B,-2.04671,52.5357,2
E01009986,Sandwell 019A,-2.00478,52.516,1
E01009987,Sandwell 019B,-2.00677,52.5203,1
E01009989,Sandwell 019C,-2.00705,52.5108,1
E01009992,Sandwell 017B,-1.99605,52.5267,1
E01009993,Sandwell 017C,-1.99284,52.5292,1
E01009994,Sandwell 010B,-1.98818,52.5474,1
E01009997,Sandwell 010E,-1.99265,52.5364,1
E01009999,Sandwell 033E,-2.03072,52.4798,2
E01010000,Sandwell 030A,-2.00905,52.4805,2
E01010002,Sandwell 030B,-2.01816,52.4877,2
E01010012,Sandwell 011D,-1.94263,52.5428,1
